config_name,Estadístico de 1er orden,Estadístico de 2do orden
config_base_simetrico_mix_imagenes,0.30474925,4.688202429051152
config_1,0.2326613515615463,2.343220345971219
config_simetrico_mas_profundo,0.31347978115081787,3.9793424124176573
config_2,modelo muy malo,modelo muy malo
config_3,0.23794056475162506,3.4532878056907306
config_4,0.34328746795654297,4.946074867838421
config_base_simetrico_longtrain,0.2323072999715805,3.1820056778833363
config_base_simetrico,0.21809765696525574,2.987903399790608
config_base,no se calcula porque tiene nans,0.007981753575755507
config_simetrico-2conv_128encod,0.20805352926254272,4.291047112432828
config_simetrico-2conv_256encod,0.2165672779083252,3.962660420206325
config_simetrico-3conv_128encod,0.21309678256511688,3.6869547403711485
config_simetrico-3conv_256encod,0.19395463168621063,3.573929182855198
config_simetrico-lr0_001,0.2732735872268677,3.837761025552903
config_simetrico-lr0_0005,0.6432045102119446,6.862920016227824
config_simetrico-lr0_001-short_train,0.34405022859573364,7.443341716255019
config_simetrico-2conv_128encod-short_train,0.2223864048719406,3.62871530021247
config_simetrico-2conv_256encod-short-train,0.20719869434833527,3.3404834055094397
config_3-short_train,0.23611491918563843,4.23196955270313
config_simetrico-3conv_128encod-short-train,0.20421545207500458,3.401667342801308
config_simetrico-3conv_256encod-short_train,0.2007262110710144,3.3288377023446127
config_simetrico_mas_profundo-short_train,0.22969885170459747,3.8733826507948743
config_base_simetrico-short_train,0.37598535418510437,7.626893994598016
config_1-short_train,0.24128954112529755,3.273421927870693
config_simetrico-maxpool_upsample,no se pudo entrenar el modelo,no se pudo entrenar el modelo